user_id,date,app_name,category,screen_time_min,launches,interactions,is_productive,youtube_views,youtube_likes,youtube_comments,extra_col_11,extra_col_12,extra_col_13,extra_col_14,extra_col_15,extra_col_16,extra_col_17,extra_col_18,extra_col_19,extra_col_20,extra_col_21,extra_col_22,extra_col_23
1014,2024-01-01 16:44:58.499499833,Twitch,Entertainment,9.63,1,6,False,,,,54.85,40.17,61.49,55.56,43.8,30.59,49.46,43.85,49.04,51.84,58.25,69.34,56.68
1019,2024-01-01 17:28:40.173391130,Snapchat,Social,84.67,3,5,False,,,,47.66,27.48,47.55,62.65,47.5,33.78,38.82,53.51,38.74,40.85,63.16,50.99,50.16
1027,2024-01-01 18:12:21.847282427,Microsoft Teams,Productivity,54.04,4,6,True,,,,60.24,46.47,60.91,66.43,50.34,42.0,48.12,67.45,45.26,46.03,56.13,52.21,66.59
1028,2024-01-01 18:56:03.521173724,Camera,Utilities,12.75,3,4,False,,,,42.68,52.84,66.76,44.16,44.82,43.86,42.85,46.32,49.97,47.06,53.04,65.04,54.9
1048,2024-01-01 19:39:45.195065021,Slack,Productivity,6.41,2,6,True,,,,57.73,49.6,51.48,42.07,43.81,43.53,76.65,57.36,28.53,44.74,45.87,60.15,40.98
1004,2024-01-01 20:23:26.868956318,YouTube,Entertainment,5.96,3,4,False,141455.0,12489.0,386.0,56.01,30.15,55.13,26.21,62.47,51.0,44.13,59.85,59.07,44.39,47.47,42.48,56.58
1041,2024-01-01 21:07:08.542847615,WhatsApp,Social,57.81,1,5,False,,,,39.76,51.91,37.62,59.72,63.36,38.42,50.78,60.53,41.71,45.82,44.64,43.86,36.48
1009,2024-01-01 21:50:50.216738912,Snapchat,Social,8.23,0,10,False,,,,52.48,54.51,67.31,44.04,57.96,39.68,60.81,48.54,48.37,35.01,48.06,74.55,44.08
1093,2024-01-01 22:34:31.890630210,Weather,Utilities,0.36,1,6,False,,,,66.92,23.25,30.57,43.51,46.04,48.19,49.27,57.75,48.87,61.8,53.04,36.87,58.6
1033,2024-01-01 23:18:13.564521507,Instagram,Social,16.06,4,5,False,,,,50.39,58.02,47.48,56.5,39.81,62.74,33.37,65.73,47.39,37.71,49.23,40.6,50.05
1023,2024-01-02 00:01:55.238412804,Spotify,Entertainment,17.65,4,4,False,,,,71.24,48.79,54.84,35.1,60.91,70.16,35.12,65.96,38.12,63.18,41.42,29.01,62.23
1061,2024-01-02 00:45:36.912304101,YouTube,Entertainment,29.27,3,2,False,217120.0,13571.0,3245.0,50.75,41.57,53.82,24.32,40.73,44.9,37.6,47.01,41.9,57.71,36.09,66.12,35.63
1049,2024-01-02 01:29:18.586195398,Google Maps,Utilities,49.52,2,2,False,,,,51.2,58.34,23.09,49.45,58.75,39.05,48.68,29.41,49.19,37.24,30.17,66.31,47.78
1083,2024-01-02 02:13:00.260086695,WhatsApp,Social,20.94,3,6,False,,,,54.5,73.93,37.14,63.74,47.53,55.32,23.69,32.81,41.99,56.03,53.94,44.41,42.94
1055,2024-01-02 02:56:41.933977992,Slack,Productivity,22.81,2,6,True,,,,38.9,60.99,53.78,51.19,39.21,59.0,44.45,68.17,72.15,38.52,61.47,71.47,42.14
1027,2024-01-02 03:40:23.607869289,YouTube,Entertainment,3.36,2,5,False,455780.0,34012.0,5289.0,33.45,41.68,54.11,59.02,55.2,57.42,36.46,53.71,57.97,59.2,84.95,59.35,46.57
1012,2024-01-02 04:24:05.281760586,Camera,Utilities,36.4,3,6,False,,,,53.93,63.95,39.51,59.59,57.1,44.69,62.59,69.98,61.98,47.5,39.3,29.63,61.85
1054,2024-01-02 05:07:46.955651883,TikTok,Entertainment,2.11,2,2,False,,,,30.04,53.49,36.19,44.9,58.88,53.44,54.11,49.98,60.49,58.33,36.6,54.53,46.87
1021,2024-01-02 05:51:28.629543181,Google Maps,Utilities,21.12,2,3,False,,,,51.62,40.17,56.39,54.0,37.3,67.91,65.33,63.12,47.57,70.04,49.34,43.25,42.97
1036,2024-01-02 06:35:10.303434478,Spotify,Entertainment,11.53,2,10,False,,,,59.51,48.25,55.0,43.66,55.72,56.65,53.76,55.61,53.4,37.46,49.8,53.0,50.07
1085,2024-01-02 07:18:51.977325775,TikTok,Entertainment,13.1,1,5,False,,,,37.14,49.7,42.5,61.96,48.63,41.0,41.28,42.03,54.04,43.51,58.98,54.7,48.62
1017,2024-01-02 08:02:33.651217072,Chrome,Utilities,110.96,1,3,False,,,,55.35,55.22,48.86,52.09,57.33,46.43,43.46,49.7,66.62,42.41,65.26,38.35,64.98
1000,2024-01-02 08:46:15.325108369,WhatsApp,Social,13.04,2,6,False,,,,55.97,56.68,23.25,45.11,48.39,55.16,45.87,55.43,54.65,56.08,58.28,43.24,63.22
1032,2024-01-02 09:29:56.998999666,WhatsApp,Social,17.62,2,2,False,,,,57.72,44.53,40.48,43.12,49.59,42.7,61.76,55.1,46.62,35.75,40.31,57.7,49.07
1016,2024-01-02 10:13:38.672890963,YouTube,Entertainment,22.13,1,9,False,327559.0,26298.0,2334.0,56.33,58.27,57.83,36.96,46.69,57.85,52.74,34.13,62.93,53.36,57.96,63.79,39.67
1035,2024-01-02 10:57:20.346782260,TikTok,Entertainment,11.08,4,9,False,,,,49.0,26.29,29.52,53.32,65.65,54.53,59.44,54.21,60.24,66.12,32.92,35.1,55.3
1059,2024-01-02 11:41:02.020673557,Netflix,Entertainment,7.0,5,10,False,,,,45.43,50.29,55.31,62.8,54.65,47.51,63.24,60.24,51.23,53.72,40.45,45.85,50.85
1031,2024-01-02 12:24:43.694564854,Chrome,Utilities,12.12,5,5,False,,,,48.13,38.9,40.15,53.06,35.76,42.43,60.61,50.35,49.19,50.13,39.85,40.35,51.21
1076,2024-01-02 13:08:25.368456152,Gmail,Utilities,3.34,2,3,False,,,,52.33,53.09,34.47,33.29,56.18,33.46,92.48,44.73,39.79,51.67,51.85,43.51,49.26
1069,2024-01-02 13:52:07.042347449,WhatsApp,Social,30.81,1,9,False,,,,35.07,39.4,46.36,37.72,35.76,53.28,49.51,47.2,34.72,73.78,75.72,49.09,46.19
1013,2024-01-02 14:35:48.716238746,Snapchat,Social,0.64,2,7,False,,,,67.3,59.58,32.29,49.45,52.45,54.32,42.5,51.56,39.75,54.72,64.67,67.63,65.08
1080,2024-01-02 15:19:30.390130043,Camera,Utilities,3.68,2,5,False,,,,24.99,46.89,59.19,37.8,59.03,40.94,30.3,34.18,66.89,53.0,64.07,47.85,52.29
1054,2024-01-02 16:03:12.064021340,Microsoft Teams,Productivity,38.0,2,5,True,,,,35.54,57.22,43.41,36.81,49.12,47.34,51.2,58.26,45.9,40.08,36.82,52.24,31.71
1088,2024-01-02 16:46:53.737912637,Evernote,Productivity,0.98,1,3,True,,,,48.9,50.88,66.19,52.22,53.7,43.14,56.28,36.15,43.5,47.65,48.67,47.23,46.2
1035,2024-01-02 17:30:35.411803934,Snapchat,Social,10.6,5,3,False,,,,47.11,62.29,61.9,33.34,59.93,60.46,51.97,52.27,51.05,54.59,30.15,61.87,44.98
1062,2024-01-02 18:14:17.085695231,Facebook,Social,43.85,1,3,False,,,,49.71,60.15,74.19,70.85,47.58,32.83,42.2,44.47,73.55,58.63,47.95,59.46,51.56
1019,2024-01-02 18:57:58.759586528,Netflix,Entertainment,32.99,2,4,False,,,,49.56,49.03,52.03,56.52,39.13,34.76,59.01,21.96,56.48,50.58,40.44,60.74,50.95
1099,2024-01-02 19:41:40.433477825,Netflix,Entertainment,12.09,0,6,False,,,,41.5,44.86,54.11,57.46,56.49,43.0,36.74,78.63,47.1,55.92,34.37,31.65,58.42
1043,2024-01-02 20:25:22.107369123,Chrome,Utilities,33.17,3,5,False,,,,63.82,56.45,58.04,50.03,52.26,49.0,36.17,52.46,46.63,37.89,52.49,54.34,49.49
1086,2024-01-02 21:09:03.781260420,Snapchat,Social,21.21,2,6,False,,,,61.21,44.18,44.07,41.16,61.75,46.69,49.03,30.46,25.31,57.47,41.93,50.93,58.37
1058,2024-01-02 21:52:45.455151717,Twitter,Social,8.03,1,5,False,,,,32.08,44.97,37.7,58.93,71.43,47.65,40.5,41.18,43.73,53.47,43.7,49.7,53.28
1090,2024-01-02 22:36:27.129043014,Chrome,Utilities,27.75,1,4,False,,,,40.65,47.99,46.4,37.52,33.84,58.5,36.09,53.58,43.26,44.72,31.65,58.68,37.78
1030,2024-01-02 23:20:08.802934311,Snapchat,Social,17.89,3,9,False,,,,51.12,51.22,50.36,50.37,55.15,44.59,40.21,56.84,50.01,55.1,38.64,60.03,49.41
1050,2024-01-03 00:03:50.476825608,Facebook,Social,8.14,4,10,False,,,,58.71,57.3,57.11,38.36,48.74,43.62,42.85,55.32,53.98,55.82,47.28,43.0,68.76
1054,2024-01-03 00:47:32.150716905,Chrome,Utilities,10.18,3,5,False,,,,41.08,39.89,52.64,45.12,36.36,63.23,57.41,47.31,35.72,51.95,50.34,59.72,47.86
1001,2024-01-03 01:31:13.824608202,WhatsApp,Social,36.72,5,5,False,,,,34.47,68.22,33.48,48.84,49.49,54.32,63.2,57.08,53.1,70.46,49.32,44.5,51.92
1021,2024-01-03 02:14:55.498499499,Evernote,Productivity,68.02,3,5,True,,,,34.51,59.33,37.6,44.81,40.74,31.09,60.03,39.74,62.91,54.48,49.6,49.67,51.08
1039,2024-01-03 02:58:37.172390796,WhatsApp,Social,8.91,2,3,False,,,,38.37,65.85,55.1,60.59,59.37,50.65,63.45,48.08,63.41,71.48,53.53,51.49,65.32
1001,2024-01-03 03:42:18.846282094,WhatsApp,Social,3.9,3,3,False,,,,47.01,45.71,67.32,50.47,62.51,40.69,60.5,51.82,54.53,51.55,48.96,46.19,32.75
1076,2024-01-03 04:26:00.520173391,Instagram,Social,18.99,0,5,False,,,,73.09,54.99,39.59,61.29,50.81,36.48,49.81,39.63,46.14,51.59,58.29,53.66,59.46
1037,2024-01-03 05:09:42.194064688,WhatsApp,Social,41.27,1,7,False,,,,35.2,53.2,55.03,49.49,60.27,67.68,47.0,45.29,65.63,50.71,49.46,38.27,46.07
1069,2024-01-03 05:53:23.867955985,WhatsApp,Social,39.72,2,12,False,,,,69.22,50.67,37.88,46.49,60.1,60.6,55.87,33.05,55.01,52.84,47.1,57.61,61.61
1032,2024-01-03 06:37:05.541847282,Instagram,Social,2.6,4,5,False,,,,59.85,31.16,43.52,47.07,63.01,38.78,48.41,37.91,50.49,47.8,31.46,39.31,56.42
1068,2024-01-03 07:20:47.215738579,Twitch,Entertainment,53.45,3,6,False,,,,49.84,65.55,54.96,50.58,44.35,43.15,51.37,51.99,39.61,55.54,51.32,56.36,48.38
1085,2024-01-03 08:04:28.889629876,TikTok,Entertainment,7.01,2,4,False,,,,49.55,50.94,52.79,44.26,59.21,50.01,42.58,54.09,47.37,36.98,44.3,42.87,61.78
1029,2024-01-03 08:48:10.563521173,Weather,Utilities,43.36,2,6,False,,,,38.82,61.96,46.28,26.76,66.78,61.38,46.5,41.71,38.64,48.99,58.18,66.44,42.24
1043,2024-01-03 09:31:52.237412470,Twitch,Entertainment,30.3,1,4,False,,,,66.99,30.79,46.81,41.01,39.72,31.66,38.52,52.06,47.83,47.2,43.41,51.32,55.88
1011,2024-01-03 10:15:33.911303767,Chrome,Utilities,4.03,0,8,False,,,,56.33,47.1,80.2,60.49,40.99,48.13,41.27,41.45,60.58,67.03,36.27,48.68,65.46
1007,2024-01-03 10:59:15.585195065,Weather,Utilities,37.65,3,4,False,,,,58.13,59.84,70.84,49.21,48.43,47.39,56.47,59.68,45.16,51.26,39.56,29.33,32.47
1036,2024-01-03 11:42:57.259086362,Google Maps,Utilities,13.83,3,6,False,,,,53.33,47.7,44.4,52.51,65.0,46.97,40.63,49.54,62.16,38.28,41.54,28.03,39.08
1049,2024-01-03 12:26:38.932977659,TikTok,Entertainment,9.84,2,12,False,,,,55.14,52.17,36.41,49.63,33.25,52.32,66.33,50.99,53.47,36.99,45.33,57.63,64.17
1046,2024-01-03 13:10:20.606868956,Spotify,Entertainment,30.23,2,4,False,,,,45.24,55.3,65.17,53.66,58.3,50.07,29.91,38.4,54.05,59.1,43.72,67.82,50.75
1096,2024-01-03 13:54:02.280760253,Weather,Utilities,20.25,2,4,False,,,,39.72,53.3,42.67,58.02,69.62,61.57,37.26,50.06,62.26,49.22,46.11,53.75,52.81
1004,2024-01-03 14:37:43.954651550,Snapchat,Social,53.19,5,4,False,,,,53.34,48.15,58.28,50.09,36.4,31.68,40.11,48.26,62.53,41.8,39.58,65.96,44.94
1003,2024-01-03 15:21:25.628542847,Camera,Utilities,21.09,4,3,False,,,,45.11,63.6,36.68,37.52,52.85,55.35,55.93,47.98,63.71,60.39,40.01,60.33,61.77
1016,2024-01-03 16:05:07.302434144,Netflix,Entertainment,34.43,2,8,False,,,,41.11,51.54,52.25,44.84,54.99,53.34,73.12,35.09,50.2,61.0,49.5,59.45,41.98
1046,2024-01-03 16:48:48.976325441,Facebook,Social,1.81,2,7,False,,,,50.18,45.71,43.33,79.48,46.12,54.45,53.5,59.13,39.28,54.53,43.82,39.27,66.64
1031,2024-01-03 17:32:30.650216738,Microsoft Teams,Productivity,23.94,3,3,True,,,,58.23,47.29,59.26,51.91,54.9,66.06,33.52,48.71,47.02,49.36,59.87,56.14,43.8
1086,2024-01-03 18:16:12.324108036,WhatsApp,Social,5.5,0,12,False,,,,57.91,54.01,57.52,59.33,68.23,40.86,33.61,55.02,44.73,55.32,51.91,40.72,45.88
1042,2024-01-03 18:59:53.997999333,Weather,Utilities,3.66,4,3,False,,,,45.44,46.71,72.0,34.2,47.0,32.43,45.98,53.36,49.09,47.94,34.17,55.61,32.52
1096,2024-01-03 19:43:35.671890630,Instagram,Social,49.78,1,4,False,,,,47.21,38.0,49.87,53.79,48.68,56.64,66.24,38.08,49.52,40.8,43.02,62.71,49.31
1071,2024-01-03 20:27:17.345781927,Twitch,Entertainment,1.06,1,5,False,,,,48.37,43.75,40.26,59.32,44.63,47.05,51.56,49.28,58.67,40.21,41.89,43.64,39.0
1023,2024-01-03 21:10:59.019673224,Google Maps,Utilities,45.77,2,2,False,,,,68.72,38.66,46.13,59.78,23.69,68.18,38.01,54.24,57.87,56.45,40.05,43.0,64.95
1044,2024-01-03 21:54:40.693564521,Twitter,Social,29.9,0,6,False,,,,43.6,42.83,58.09,52.93,55.6,51.42,38.98,68.09,44.7,57.22,52.17,46.12,46.44
1076,2024-01-03 22:38:22.367455818,Gmail,Utilities,59.13,0,3,False,,,,58.13,48.27,53.78,49.11,60.04,32.79,44.58,50.33,41.65,40.08,62.89,54.56,73.08
1020,2024-01-03 23:22:04.041347115,Weather,Utilities,4.85,1,5,False,,,,78.62,52.18,39.77,46.24,36.44,46.88,43.62,81.41,39.89,60.37,53.87,48.16,70.89
1047,2024-01-04 00:05:45.715238412,Camera,Utilities,20.25,2,5,False,,,,50.88,49.7,56.4,69.86,64.81,44.97,47.91,55.15,45.54,41.63,51.59,40.46,61.29
1005,2024-01-04 00:49:27.389129709,Google Maps,Utilities,38.76,1,4,False,,,,23.09,56.02,51.08,61.53,42.15,52.49,55.54,51.7,51.07,57.88,41.9,38.12,36.57
1055,2024-01-04 01:33:09.063021007,Twitter,Social,102.75,2,3,False,,,,54.13,54.11,52.88,45.06,53.8,43.31,67.71,51.54,60.69,53.42,36.12,50.24,51.82
1095,2024-01-04 02:16:50.736912304,Camera,Utilities,73.66,1,3,False,,,,43.14,44.85,64.4,56.79,47.97,38.99,35.92,31.7,55.68,62.01,50.01,48.98,43.82
1034,2024-01-04 03:00:32.410803601,Google Maps,Utilities,45.09,1,6,False,,,,37.95,46.87,65.38,58.64,49.78,51.76,65.26,59.79,38.76,48.09,61.19,71.86,40.52
1084,2024-01-04 03:44:14.084694898,Slack,Productivity,31.55,4,9,True,,,,61.54,55.03,40.32,43.2,75.51,45.33,59.33,40.85,58.35,51.31,55.1,77.67,47.4
1001,2024-01-04 04:27:55.758586195,Snapchat,Social,13.49,1,5,False,,,,53.7,68.75,56.27,53.84,54.21,61.15,41.28,45.56,54.07,59.05,47.88,54.77,68.88
1018,2024-01-04 05:11:37.432477492,Google Docs,Productivity,21.91,5,5,True,,,,56.76,53.8,50.18,58.58,40.26,67.95,48.79,39.44,55.36,40.63,58.28,38.88,51.69
1079,2024-01-04 05:55:19.106368789,Snapchat,Social,17.06,0,4,False,,,,54.02,52.72,42.96,58.76,61.36,53.23,42.5,59.13,41.45,54.3,42.36,34.75,65.2
1071,2024-01-04 06:39:00.780260086,TikTok,Entertainment,33.67,1,7,False,,,,54.34,45.61,59.94,45.35,56.1,63.96,64.57,38.35,53.38,48.93,65.01,77.92,68.82
1022,2024-01-04 07:22:42.454151383,Notion,Productivity,5.75,4,9,True,,,,60.22,60.84,58.07,43.29,60.9,49.82,50.45,54.89,48.31,38.77,66.04,54.27,36.58
1078,2024-01-04 08:06:24.128042680,Google Docs,Productivity,3.32,0,5,True,,,,46.24,50.56,68.2,33.85,56.72,46.71,41.14,33.46,43.54,50.28,37.89,68.53,54.52
1021,2024-01-04 08:50:05.801933978,Google Docs,Productivity,9.39,3,4,True,,,,63.12,56.81,54.69,48.43,41.7,28.42,48.77,56.67,41.41,59.54,33.11,53.86,49.97
1095,2024-01-04 09:33:47.475825275,Twitch,Entertainment,18.12,0,3,False,,,,42.64,54.29,52.53,39.17,37.7,43.68,46.89,47.49,44.5,60.36,54.5,45.53,41.61
1019,2024-01-04 10:17:29.149716572,Notion,Productivity,2.91,5,4,True,,,,48.0,57.74,60.24,43.68,50.84,47.32,54.08,56.38,56.68,40.6,54.83,58.33,35.92
1022,2024-01-04 11:01:10.823607869,Snapchat,Social,16.11,1,5,False,,,,53.14,51.68,47.87,46.15,49.13,67.33,45.59,48.19,58.83,54.39,56.74,47.41,49.65
1071,2024-01-04 11:44:52.497499166,Weather,Utilities,20.22,1,4,False,,,,70.35,52.51,42.96,53.53,57.03,49.3,69.5,50.75,44.71,33.07,62.01,44.39,50.84
1023,2024-01-04 12:28:34.171390463,Evernote,Productivity,24.14,3,4,True,,,,61.76,51.8,53.44,50.5,41.12,41.53,45.75,54.15,57.29,62.84,51.84,62.78,57.89
1034,2024-01-04 13:12:15.845281760,Google Maps,Utilities,0.67,0,3,False,,,,51.51,51.98,77.06,51.3,41.13,48.58,79.11,47.75,40.75,41.68,65.27,41.91,60.72
1020,2024-01-04 13:55:57.519173057,YouTube,Entertainment,37.65,0,5,False,494839.0,30195.0,7279.0,41.72,45.73,47.96,62.21,73.09,40.59,56.27,44.79,41.64,64.89,41.83,54.06,49.56
1017,2024-01-04 14:39:39.193064354,Microsoft Teams,Productivity,24.88,0,8,True,,,,58.22,61.08,49.97,50.26,43.45,51.03,64.78,48.1,57.85,38.14,59.3,32.43,34.08
1077,2024-01-04 15:23:20.866955651,Facebook,Social,25.82,2,2,False,,,,57.14,57.34,64.57,52.72,32.44,58.42,40.95,49.83,34.4,58.76,60.65,38.41,31.25
1068,2024-01-04 16:07:02.540846949,Microsoft Teams,Productivity,3.5,4,5,True,,,,39.29,43.26,30.9,39.91,56.08,51.47,40.94,47.33,55.98,38.94,61.52,45.85,37.43
1090,2024-01-04 16:50:44.214738246,Google Maps,Utilities,55.3,1,5,False,,,,59.64,48.34,58.5,31.37,63.64,47.64,38.74,45.11,56.16,48.37,63.27,43.96,44.28
1029,2024-01-04 17:34:25.888629543,Gmail,Utilities,28.41,1,6,False,,,,58.19,49.61,45.49,47.2,42.89,40.44,47.54,53.83,56.62,35.95,43.0,48.89,59.41
1057,2024-01-04 18:18:07.562520840,Microsoft Teams,Productivity,13.93,3,6,True,,,,37.38,35.85,61.62,47.6,37.55,52.57,54.49,49.42,38.3,59.16,59.52,46.27,44.26
1007,2024-01-04 19:01:49.236412137,Spotify,Entertainment,14.09,2,4,False,,,,49.01,73.59,45.0,51.87,48.32,45.52,61.14,45.17,60.3,60.12,50.54,24.92,50.3
1069,2024-01-04 19:45:30.910303434,Camera,Utilities,2.2,4,5,False,,,,44.9,76.87,59.43,41.36,29.1,51.49,56.95,50.69,58.17,66.41,51.68,29.82,40.53
1091,2024-01-04 20:29:12.584194731,Facebook,Social,47.31,1,8,False,,,,42.53,40.25,52.76,49.49,48.64,50.23,46.52,68.99,51.44,45.35,49.38,39.5,23.45
1072,2024-01-04 21:12:54.258086028,Camera,Utilities,6.15,3,7,False,,,,39.51,51.73,42.7,56.75,57.48,53.49,63.86,51.36,46.04,35.82,57.89,22.89,42.27
1054,2024-01-04 21:56:35.931977325,Spotify,Entertainment,4.7,2,4,False,,,,38.7,47.08,42.75,59.56,57.02,44.7,64.83,46.25,34.81,47.99,47.56,49.46,52.02
1081,2024-01-04 22:40:17.605868622,Slack,Productivity,61.13,1,3,True,,,,56.37,58.99,32.13,47.06,34.17,48.65,47.76,45.19,61.96,41.11,33.99,48.05,65.39
1095,2024-01-04 23:23:59.279759920,Evernote,Productivity,15.05,3,6,True,,,,53.61,52.33,59.84,43.09,68.49,35.65,45.22,70.41,34.11,50.82,40.8,55.27,44.06
1073,2024-01-05 00:07:40.953651217,Chrome,Utilities,39.93,1,9,False,,,,44.14,58.7,55.56,50.6,36.92,49.82,44.93,56.62,51.79,58.31,65.19,41.71,49.52
1001,2024-01-05 00:51:22.627542514,Slack,Productivity,4.18,0,6,True,,,,64.13,59.94,43.2,55.18,46.67,57.13,52.56,50.52,58.69,47.36,59.76,24.28,44.95
1025,2024-01-05 01:35:04.301433811,Spotify,Entertainment,25.36,1,3,False,,,,58.81,38.04,58.0,16.69,43.5,70.01,54.89,53.75,45.96,60.32,56.49,41.39,54.49
1067,2024-01-05 02:18:45.975325108,YouTube,Entertainment,40.04,3,4,False,34176.0,1229.0,368.0,50.35,48.12,40.77,44.5,46.02,47.83,50.85,56.11,60.06,46.2,50.64,53.2,34.39
1099,2024-01-05 03:02:27.649216405,Twitch,Entertainment,8.92,3,2,False,,,,40.3,68.64,42.33,42.71,54.57,63.27,48.33,70.01,56.82,50.45,38.96,35.87,48.17
1029,2024-01-05 03:46:09.323107702,Evernote,Productivity,9.01,2,4,True,,,,60.15,50.08,36.17,32.61,59.05,49.64,46.14,58.34,47.12,39.97,50.33,47.25,67.76
1023,2024-01-05 04:29:50.996998999,Twitch,Entertainment,14.9,4,7,False,,,,51.52,48.89,47.53,51.57,53.71,58.6,44.9,61.1,52.16,49.4,53.06,78.76,52.7
1005,2024-01-05 05:13:32.670890296,WhatsApp,Social,19.98,3,3,False,,,,48.25,38.1,54.26,55.88,61.36,49.09,51.56,66.83,54.71,47.86,45.83,48.17,56.71
1045,2024-01-05 05:57:14.344781593,Notion,Productivity,12.25,0,3,True,,,,49.25,61.21,46.2,44.49,61.54,60.3,36.97,59.44,65.18,58.89,46.82,69.82,58.11
1037,2024-01-05 06:40:56.018672891,Netflix,Entertainment,36.94,3,4,False,,,,55.53,38.35,46.7,39.41,58.48,43.16,30.56,47.31,48.96,57.32,40.88,49.61,58.57
1007,2024-01-05 07:24:37.692564188,Weather,Utilities,22.17,5,5,False,,,,45.09,58.65,45.58,42.88,56.0,65.89,58.73,43.05,42.62,49.46,48.75,55.2,38.55
